"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp","n.copies"
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_030534.wav","MMP-POPA25_20180715_030534.wav",22,25,"2018-07-15 03:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_040534.wav","MMP-POPA25_20180715_040534.wav",22,25,"2018-07-15 04:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_043534.wav","MMP-POPA25_20180715_043534.wav",22,25,"2018-07-15 04:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_050534.wav","MMP-POPA25_20180715_050534.wav",22,25,"2018-07-15 05:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_053534.wav","MMP-POPA25_20180715_053534.wav",22,25,"2018-07-15 05:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_060534.wav","MMP-POPA25_20180715_060534.wav",22,25,"2018-07-15 06:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_063534.wav","MMP-POPA25_20180715_063534.wav",22,25,"2018-07-15 06:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_070534.wav","MMP-POPA25_20180715_070534.wav",22,25,"2018-07-15 07:05:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_073534.wav","MMP-POPA25_20180715_073534.wav",22,25,"2018-07-15 07:35:34",1
44100,2,16,25048832,568,100228096,"F://Songmeter recordings/2018/POPA_25/MMP-POPA25_20180715_080534.wav","MMP-POPA25_20180715_080534.wav",22,25,"2018-07-15 08:05:34",1
