"drive.id","file.location","filename","length","type","device.id","timestamp","n.copies"
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_010000.wav","POPA-15_20130611_010000.wav",900,"other","15",2013-06-11 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_020000.wav","POPA-15_20130611_020000.wav",900,"other","15",2013-06-11 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_030000.wav","POPA-15_20130611_030000.wav",900,"other","15",2013-06-11 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_040000.wav","POPA-15_20130611_040000.wav",12173,"other","15",2013-06-11 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_072257.wav","POPA-15_20130611_072257.wav",2222,"other","15",2013-06-11 07:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_190000.wav","POPA-15_20130611_190000.wav",12173,"other","15",2013-06-11 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130611_222257.wav","POPA-15_20130611_222257.wav",3122,"other","15",2013-06-11 22:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_000000.wav","POPA-15_20130612_000000.wav",900,"other","15",2013-06-12 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_010000.wav","POPA-15_20130612_010000.wav",900,"other","15",2013-06-12 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_020000.wav","POPA-15_20130612_020000.wav",900,"other","15",2013-06-12 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_030000.wav","POPA-15_20130612_030000.wav",900,"other","15",2013-06-12 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_040000.wav","POPA-15_20130612_040000.wav",12173,"other","15",2013-06-12 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_072258.wav","POPA-15_20130612_072258.wav",2221,"other","15",2013-06-12 07:22:58,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_190000.wav","POPA-15_20130612_190000.wav",12173,"other","15",2013-06-12 19:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130612_222256.wav","POPA-15_20130612_222256.wav",3122,"other","15",2013-06-12 22:22:56,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130607-20130613/POPA-15_20130613_000000.wav","POPA-15_20130613_000000.wav",900,"other","15",2013-06-13 00:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_010000.wav","POPA-15_20130613_010000.wav",900,"other","15",2013-06-13 01:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_020000.wav","POPA-15_20130613_020000.wav",900,"other","15",2013-06-13 02:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_030000.wav","POPA-15_20130613_030000.wav",900,"other","15",2013-06-13 03:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_040000.wav","POPA-15_20130613_040000.wav",12173,"other","15",2013-06-13 04:00:00,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_072257.wav","POPA-15_20130613_072257.wav",2222,"other","15",2013-06-13 07:22:57,1
13,"F://DATA BACK UP 2012-2015/2013_SONGMETER/POPA15_Musquash/20130613-20130618/POPA-15_20130613_190000.wav","POPA-15_20130613_190000.wav",12173,"other","15",2013-06-13 19:00:00,1
